RowId,V 0  1  1  0  0  1 ,V 0  1  1  1  0  1 ,V 0  1  0  0  0  0 ,V 0  1  0  1  0  0 ,V 1  0  1  1  1  1 ,V 0  1  0  0  1  0 ,V 0  1  0  1  1  0 ,V 1  1  0  1  0  1 ,V 1  1  0  0  0  1 ,V 0  0  1  1  1  0 ,V 1  0  0  0  1  0 ,V 1  0  1  1  0  1 ,V 1  0  1  0  0  1 ,V 1  0  1  0  1  1 ,V 1  0  0  1  1  0 ,V 0  0  1  0  1  0 ,V 0  0  0  1  0  1 ,V 0  1  0  1  0  1 ,V 0  1  1  1  0  0 ,V 1  1  1  0  0  1 ,V 0  1  0  1  1  1 ,V 1  0  0  1  0  0 ,V 0  0  1  1  0  0 ,V 1  1  0  1  0  0 ,V 0  0  1  0  1  1 ,V 0  0  0  1  1  0 ,V 1  1  1  0  1  0 ,V 0  1  1  0  1  1 ,V 1  0  1  0  1  0 ,V 1  0  1  0  0  0 ,V 1  0  0  0  1  1 ,V 1  1  0  0  1  1 ,V 0  0  0  1  0  0 ,V 0  0  1  0  0  1 ,V 0  0  0  0  0  0 ,V 1  0  0  1  0  1 ,V 1  1  1  0  0  0 ,V 1  0  0  0  0  1 ,V 0  0  1  1  0  1 ,V 0  1  1  1  1  0 ,V 0  1  1  0  1  0 ,V 1  1  1  1  0  1 ,V 0  0  0  1  1  1 ,V 0  0  0  0  1  1 ,V 1  1  1  1  1  1 ,V 1  1  1  0  1  1 ,V 1  1  0  1  1  0 ,V 1  1  0  0  1  0 ,V 0  0  1  0  0  0 ,V 0  1  1  0  0  0 ,V 0  1  0  0  0  1 ,V 0  0  0  0  0  1 ,V 1  0  1  1  1  0 ,V 0  1  0  0  1  1 ,V 1  0  0  0  0  0 ,V 1  1  0  0  0  0 ,V 0  0  1  1  1  1 ,V 0  1  1  1  1  1 ,V 1  0  1  1  0  0 ,V 1  1  1  1  0  0 ,V 0  0  0  0  1  0 ,V 1  1  1  1  1  0 ,V 1  0  0  1  1  1 ,V 1  1  0  1  1  1 
H 0  1  1  0  1  0 ,0,9705,6,15,117,134,11520,6,3582,332,296,96,1942,278,6,4,93,0,2412,120,162,60,169,321,59,3338,5472,3387,136,402,157,91,12,0,10,70,5542,1612,8958,111,60,73,168,316,3,4,4095,228,18,139,4496,228,60,171,9000,4,6,4,4327,220,118,137,4530,380
H 0  0  1  0  1  0 ,0,14916,6,14,188,141,23096,2,3636,411,237,133,2567,315,0,10,141,0,2800,207,180,41,256,461,68,5709,10418,3566,110,668,268,153,6,15,7,89,9863,1583,10255,106,70,67,184,399,6,0,5758,311,22,154,6331,231,39,165,13135,0,14,3,5801,262,107,174,6169,617
H 1  1  0  0  1  0 ,369,57,4,22,183,207,72,70,201,24,12,84,3204,24,25,70,2635,619,3033,146,154,775,319,6,1402,7229,694,178,78,43,302,2612,140,68,141,1306,708,1625,37,68,1309,1201,174,19,1052,59,339,313,2,161,356,4,681,159,52,41,9,510,355,281,83,170,378,30
H 0  1  1  1  0  1 ,444,344,965,6,91,117,32,52,2565,166,2100,1053,124,154,591,49,3,42,165,120,98,719,5,165,77,28,25,2303,1435,19,6,12,6,61,8,60,15,1530,4772,1257,87,88,74,164,2,57,241,13,94,101,273,1961,816,104,397,636,62,22,213,5,1125,83,176,8
H 0  1  1  0  0  1 ,42,897,63,8,103,88,304,18,1872,148,461,296,476,105,39,16,33,17,496,123,118,207,39,142,65,227,259,1733,261,59,47,37,14,16,10,110,241,1485,2854,316,93,85,104,134,7,14,734,43,27,105,705,358,281,117,842,59,21,10,647,32,355,121,656,45
H 0  1  0  0  1  0 ,23,779,12,18,157,174,1064,14,907,105,67,111,1857,130,10,14,371,27,1974,172,188,177,217,100,234,3499,1706,853,104,147,244,439,26,27,24,255,1638,1389,612,155,261,280,163,95,43,13,1167,218,14,160,1196,64,174,133,741,14,11,18,1201,222,112,144,1253,150
H 0  1  0  1  0  0 ,3796,35,1620,23,165,144,3,274,734,112,1063,1305,132,108,2416,226,25,399,108,159,159,1996,15,104,240,14,10,818,1444,14,28,20,25,252,27,167,5,1197,726,1350,210,207,158,86,33,252,96,8,133,144,70,911,2000,125,93,2342,180,338,76,16,1337,137,88,8
H 0  1  0  1  1  0 ,233,306,131,5,137,189,99,46,1224,143,361,412,502,100,146,54,86,75,563,130,144,526,58,150,218,233,142,1179,467,37,44,66,18,66,30,188,145,1416,1014,436,204,195,154,103,23,63,369,62,45,108,420,347,560,142,304,177,27,67,432,53,418,101,414,45
H 1  1  0  1  0  1 ,76166,3,586,11,131,113,0,880,124,24,103,917,208,5,6188,737,178,9990,204,108,113,10409,14,12,1622,50,2,153,1035,1,16,230,110,740,96,1323,0,1552,20,883,1487,1268,125,9,1204,914,19,21,74,128,23,105,10585,129,0,6391,98,8289,17,14,886,121,7,0
H 1  1  0  0  0  1 ,8331,5,44,10,129,110,1,286,97,5,25,213,770,8,518,290,913,4271,706,116,119,3084,90,9,1736,515,30,89,221,6,89,1055,152,259,133,1615,22,1272,8,243,1764,1692,142,16,1991,305,65,51,25,128,60,18,3279,105,4,614,18,3677,52,56,238,114,67,6
H 0  1  1  1  1  1 ,16,1984,70,9,117,101,499,7,4027,221,743,322,633,196,45,10,17,4,723,135,141,191,25,227,84,275,387,3495,433,76,46,22,2,17,5,72,270,2076,7968,400,33,65,104,208,2,13,1219,38,25,90,1184,715,223,107,1795,46,23,7,1001,35,368,116,1122,47
H 1  0  1  1  1  0 ,143,385,41,14,194,143,182,39,1241,114,222,296,1158,57,74,35,167,85,1171,211,185,570,86,94,295,866,410,1178,339,58,92,185,17,46,27,334,367,2047,895,333,321,257,192,80,44,27,662,70,22,172,686,189,626,167,342,91,39,66,629,107,360,117,557,61
H 1  0  1  0  1  0 ,17,952,0,25,211,146,2015,19,909,104,36,76,4077,84,6,5,939,48,4211,193,179,199,366,94,342,11704,4470,917,94,175,384,888,35,20,41,401,4135,1878,480,70,399,413,166,101,70,18,1918,380,11,167,1949,28,139,190,917,4,3,34,1900,358,57,184,1900,164
H 1  0  1  1  0  0 ,2616,55,642,20,179,189,4,199,904,84,528,959,296,95,1143,200,60,361,253,160,175,2000,29,86,305,61,17,918,1004,7,20,45,9,196,31,292,12,1640,540,959,331,275,172,74,48,199,158,38,106,178,100,556,1852,146,92,1273,129,338,111,21,946,156,143,10
H 0  1  1  0  1  1 ,0,4697,5,5,115,123,5156,2,2791,163,148,91,2270,154,10,0,129,2,2364,156,113,59,157,204,90,3511,3982,2399,123,216,193,126,4,2,0,88,3781,1791,4368,100,71,91,112,180,2,9,2862,172,8,91,3350,151,73,138,4099,4,7,0,2850,155,89,130,3254,185
H 1  0  1  0  0  0 ,293,163,45,19,157,138,99,76,625,100,100,263,912,85,99,98,282,182,836,144,201,545,76,63,388,726,287,593,220,35,104,253,35,73,61,398,272,1414,302,239,368,402,152,73,84,88,458,91,15,158,365,110,582,185,152,106,38,158,377,101,252,142,379,54
