
	,H 0  0  1  1  0  1 ,	H 1  0  0  0  0  1 ,	H 1  1  1  0  0  0 ,	H 0  0  0  1  0  0 ,	H 0  0  0  0  1  0 ,	H 1  1  1  1  0  0 ,	H 0  0  0  0  0  0 ,	H 1  0  0  1  0  1 ,	H 0  0  1  0  0  1 ,	H 1  0  0  0  1  1 ,	H 1  0  0  1  1  1 ,	H 1  1  1  1  1  0 ,	H 1  1  1  0  1  0 ,	H 0  0  0  1  1  0 ,	H 0  1  0  0  0  1 ,	H 0  0  1  0  1  1 ,	H 0  0  1  1  1  1 ,	H 1  1  0  0  0  0 ,	H 1  0  0  0  0  0 ,	H 0  0  0  0  0  1 ,	H 0  0  0  0  1  1 ,	H 1  1  1  1  0  1 ,	H 0  1  0  0  1  1 ,	H 0  1  1  0  0  0 ,	H 0  0  1  0  0  0 ,	H 1  0  0  0  1  0 ,	H 1  1  1  1  1  1 ,	H 1  0  1  1  1  1 ,	H 1  0  1  1  0  1 ,	H 0  1  1  0  1  0 ,	H 0  0  1  0  1  0 ,	H 1  1  0  0  1  0 ,	H 0  1  1  0  0  1 ,	H 0  1  1  1  0  1 ,	H 0  1  0  0  1  0 ,	H 0  1  0  1  0  0 ,	H 0  1  0  1  1  0 ,	H 1  1  0  1  0  1 ,	H 1  1  0  0  0  1 ,	H 0  1  1  1  1  1 ,	H 1  0  1  0  1  0 ,	H 1  0  1  1  1  0 ,	H 1  0  1  1  0  0 ,	H 1  0  1  0  0  0 ,	H 0  1  1  0  1  1 ,	H 1  1  0  1  1  1 ,	H 1  1  0  0  1  1 ,	H 0  1  1  1  0  0 ,	H 1  0  0  1  0  0 ,	H 0  0  0  1  0  1 ,	H 0  1  0  1  0  1 ,	H 1  1  1  0  0  1 ,	H 0  1  0  1  1  1 ,	H 1  1  0  1  0  0 ,	H 0  0  1  1  0  0 ,	H 1  1  0  1  1  0 ,	H 1  0  0  1  1  0 ,	H 1  0  1  0  1  1 ,	H 1  1  1  0  1  1 ,	H 0  0  0  1  1  1 ,	H 0  1  0  0  0  0 ,	H 1  0  1  0  0  1 ,	H 0  1  1  1  1  0 ,	H 0  0  1  1  1  0 ,	
V 0  1  1  1  0  0  1  0  1  1  0  0 ,	21,	13,	1,	31,	6,	2,	0,	1,	5,	12,	4,	0,	101,	3,	3,	23,	0,	3,	2,	0,	0,	1,	1,	79,	0,	0,	1,	10,	0,	1,	0,	1,	11,	5,	0,	0,	3,	0,	5,	2,	7,	5,	8,	0,	1,	2,	1,	1,	3,	2,	2,	1,	2,	7,	0,	34,	54,	1,	4,	1,	0,	9,	3,	6,	
V 0  0  0  1  1  1  1  0  0  0  1  0 ,	11,	7,	21,	5,	0,	184,	31,	3,	5,	2,	2,	6,	3,	8,	1,	2,	1,	9,	2,	9,	11,	1,	8,	5,	1,	7,	2879,	541,	6,	4,	9,	7,	14,	2,	17,	2,	8,	1,	7,	4,	61,	3,	30,	9,	251,	5,	0,	4,	136,	37,	117,	28,	1,	1,	9,	2,	7,	1,	2,	2,	113,	1,	6,	0,	
V 1  1  1  0  1  1  0  1  1  1  0  1 ,	2,	1,	1,	3,	0,	1,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	0,	0,	2,	0,	1,	0,	0,	0,	0,	0,	3,	4,	1,	0,	0,	2,	0,	0,	1,	2,	2,	2,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	0,	1,	0,	
V 0  0  0  0  1  0  1  0  0  0  1  0 ,	56,	9,	173,	18,	8,	1405,	14,	12,	9,	6,	44,	62,	1,	38,	30,	9,	18,	26,	9,	10,	649,	7,	280,	21,	6,	38,	4305,	387,	35,	11,	372,	21,	23,	38,	151,	16,	24,	146,	16,	6,	34,	10,	132,	20,	349,	71,	12,	29,	808,	124,	102,	68,	12,	12,	52,	10,	10,	9,	5,	14,	1937,	8,	88,	7,	
V 0  1  1  1  1  1  1  0  0  1  0  1 ,	6,	3,	0,	3,	0,	1,	0,	0,	5,	0,	0,	0,	3,	0,	1,	1,	0,	3,	0,	2,	0,	0,	0,	3,	1,	1,	0,	2,	0,	1,	0,	0,	2,	1,	1,	0,	2,	0,	2,	1,	5,	0,	0,	0,	2,	0,	0,	0,	0,	3,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	0,	
V 1  0  0  0  0  1  0  1  0  1  0  0 ,	32,	16,	28,	10,	5,	55,	19,	2,	9,	3,	9,	10,	7,	14,	5,	7,	8,	12,	6,	9,	14,	0,	23,	14,	2,	11,	280,	116,	6,	2,	8,	14,	21,	14,	26,	2,	4,	6,	15,	15,	51,	9,	27,	11,	116,	5,	5,	8,	88,	32,	29,	36,	4,	10,	9,	4,	4,	9,	6,	9,	39,	8,	7,	9,	
V 1  1  0  1  1  0  0  0  1  1  0  1 ,	5,	3,	0,	50,	5,	1,	0,	0,	3,	5,	7,	2,	13,	4,	7,	12,	1,	1,	0,	1,	0,	4,	1,	32,	0,	3,	0,	1,	0,	3,	0,	0,	4,	26,	1,	0,	5,	0,	0,	1,	3,	1,	0,	2,	2,	3,	0,	0,	0,	3,	1,	0,	0,	21,	2,	3,	23,	1,	1,	0,	0,	12,	1,	11,	
V 1  1  1  1  1  0  1  0  1  1  1  1 ,	1,	0,	0,	6,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	1,	1,	0,	1,	0,	0,	0,	3,	1,	1,	0,	0,	0,	0,	0,	0,	3,	2,	0,	0,	0,	0,	0,	0,	1,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	2,	1,	0,	1,	0,	0,	0,	0,	1,	1,	1,	
V 1  0  1  1  1  0  0  0  0  0  0  0 ,	73,	30619,	3,	25,	12,	3,	1142,	2,	639,	257,	2,	3,	44726,	5,	1,	61,	5,	15,	216,	60,	1,	4,	4,	900,	14,	11,	4,	16,	1,	6,	0,	51,	21,	3,	4,	1,	4,	2,	2066,	1433,	588,	15,	3,	96,	52,	5,	5,	4,	5,	6,	89,	33,	28,	4,	4,	2925,	846,	17,	37,	8,	2,	11,	6,	19,	
V 1  0  1  0  0  1  1  1  0  1  1  0 ,	4,	2,	0,	1,	2,	8,	1,	0,	5,	0,	0,	1,	2,	2,	1,	1,	2,	2,	3,	1,	0,	0,	2,	5,	0,	1,	19,	15,	1,	3,	1,	8,	3,	2,	3,	0,	2,	2,	0,	0,	7,	3,	5,	0,	13,	1,	3,	0,	8,	6,	1,	0,	1,	0,	0,	0,	1,	1,	2,	1,	2,	1,	3,	0,	
