RowId,V 0  1  1  0  0  1 ,V 0  1  1  1  0  1 ,V 0  1  0  0  0  0 ,V 0  1  0  1  0  0 ,V 1  0  1  1  1  1 ,V 0  1  0  0  1  0 ,V 0  1  0  1  1  0 ,V 1  1  0  1  0  1 ,V 1  1  0  0  0  1 ,V 0  0  1  1  1  0 ,V 1  0  0  0  1  0 ,V 1  0  1  1  0  1 ,V 1  0  1  0  0  1 ,V 1  0  1  0  1  1 ,V 1  0  0  1  1  0 ,V 0  0  1  0  1  0 ,V 0  0  0  1  0  1 ,V 0  1  0  1  0  1 ,V 0  1  1  1  0  0 ,V 1  1  1  0  0  1 ,V 0  1  0  1  1  1 ,V 1  0  0  1  0  0 ,V 1  1  0  1  0  0 ,V 0  0  1  1  0  0 ,V 0  0  1  0  1  1 ,V 0  0  0  1  1  0 ,V 1  1  1  0  1  0 ,V 0  1  1  0  1  1 ,V 1  0  1  0  1  0 ,V 1  0  1  0  0  0 ,V 1  0  0  0  1  1 ,V 1  1  0  0  1  1 ,V 0  0  0  1  0  0 ,V 0  0  1  0  0  1 ,V 0  0  0  0  0  0 ,V 1  0  0  1  0  1 ,V 1  1  1  0  0  0 ,V 1  0  0  0  0  1 ,V 0  0  1  1  0  1 ,V 0  1  1  1  1  0 ,V 0  1  1  0  1  0 ,V 1  1  1  1  0  1 ,V 0  0  0  1  1  1 ,V 0  0  0  0  1  1 ,V 1  1  1  1  1  1 ,V 1  1  1  0  1  1 ,V 1  1  0  1  1  0 ,V 1  1  0  0  1  0 ,V 0  0  1  0  0  0 ,V 0  1  1  0  0  0 ,V 0  1  0  0  0  1 ,V 0  0  0  0  0  1 ,V 1  0  1  1  1  0 ,V 0  1  0  0  1  1 ,V 1  0  0  0  0  0 ,V 1  1  0  0  0  0 ,V 0  0  1  1  1  1 ,V 0  1  1  1  1  1 ,V 1  0  1  1  0  0 ,V 1  1  1  1  0  0 ,V 0  0  0  0  1  0 ,V 1  1  1  1  1  0 ,V 1  0  0  1  1  1 ,V 1  1  0  1  1  1 
H 1  1  0  0  1  0 ,1403,217,486,4492,4687,2202,2055,5887,630,414,2590,77863,656,1167,1948,59622,15073,72623,4263,4658,18677,7810,629,34492,17381,5786,2614,1049,7799,60586,3436,1894,3402,31929,17469,42408,2618,34226,863,32231,4215,614,26205,2037,10251,7848,289,4463,9548,479,18974,4255,1468,137520,1231,8462,331,10280,7662,2601,4405,9483,1023,14242
H 0  1  1  1  0  1 ,8844,22424,212,2878,3054,862,1411,64188,4411,48785,27191,4285,4016,14440,1409,256,1100,4305,3185,3245,19072,278,4672,2211,698,59468,33033,487,355,290,164,1494,179,1940,634,41237,31181,1943,93413,2289,3088,4101,168,1530,6091,353,2182,2653,6270,42888,21679,2861,8653,564,15334,10117,2061,5642,316,29133,2777,5988,375,1018
H 0  1  1  0  0  1 ,21033,1849,286,2789,3133,7596,570,44280,3735,10333,7665,13210,3497,1533,637,989,492,14146,3253,3092,6457,1085,3898,2600,6415,43693,8338,1415,1255,1006,237,624,257,2576,6141,35723,8382,2416,54836,2777,3249,3711,226,581,16385,1216,682,2784,17273,9534,6999,3101,20080,5142,1526,1363,670,15907,1219,7679,2976,16564,1431,588
H 0  1  0  0  1  0 ,18416,389,528,4192,4416,25735,649,21006,2735,1957,3089,47410,2640,561,696,9347,1044,49185,4272,4234,5024,5692,2622,7027,41565,21091,3249,3743,6081,9788,908,697,895,6830,41261,34156,3285,6723,13089,7046,4405,2647,1440,682,29272,5916,442,4144,29906,1927,5210,4196,17964,67928,557,858,378,29338,5836,3046,4169,29891,3457,1102
H 0  1  0  1  0  0 ,1548,37896,552,3942,4186,246,6531,19489,2782,23614,31637,3706,2457,56376,6040,774,9647,3435,3800,3946,47234,506,2464,6094,357,19689,34215,388,561,811,783,6110,823,5213,398,29095,34492,5756,13328,5762,3748,2358,1128,6470,2519,533,3973,3665,2239,21504,50881,3540,1647,551,56539,82949,4433,2415,433,31880,3576,2236,312,8946
H 0  1  0  1  1  0 ,7544,3182,429,3932,4166,2702,1510,28588,3015,8157,9966,13846,2665,4087,1553,1865,2209,13786,4156,4260,14096,1315,3135,5593,3802,27419,11530,1148,1470,2100,568,1618,555,5183,3725,37727,10950,5058,20997,5597,3985,2850,828,1560,10365,1618,1127,3565,10543,7581,15295,3900,7580,5063,4266,5735,1073,10002,1433,10533,3657,9827,1040,2096
H 1  1  0  1  0  1 ,114,14493,272,3661,3660,37,22176,4298,408,2583,23853,6581,355,151828,18746,4753,239828,5516,3260,3725,255499,497,303,39228,124,4263,25586,65,490,5017,2828,19459,2790,31532,131,42308,25109,36981,488,33648,3255,305,29526,22653,773,551,1753,3543,652,2360,269625,3093,106,896,156489,1669959,2244,688,483,24458,3059,634,64,205519
H 1  1  0  0  0  1 ,217,1190,341,3535,3533,94,7924,3017,355,612,6309,19374,333,13888,6904,21927,99952,17267,3191,3668,77301,1842,297,44138,872,3076,6288,190,1718,21955,3792,6768,3930,38824,843,34532,6273,43693,347,38730,3220,300,49774,7808,1713,1733,586,3522,1465,609,77012,3142,219,9689,13459,175300,630,1739,1841,6086,3036,1590,160,87821
H 0  1  1  1  1  1 ,48238,1800,185,2844,3167,14262,357,95215,5230,17628,8905,16643,4484,1141,338,627,245,18068,3690,3425,5803,890,5619,2157,8985,86668,11328,1685,1020,730,123,417,129,1912,8140,55053,10096,1773,151233,2324,3395,4910,106,396,28608,1110,631,2655,30522,15152,6850,3278,43975,5604,1212,750,574,25822,981,9964,2918,27750,1413,305
H 1  0  1  1  1  0 ,9011,1243,363,4403,4371,4952,1108,30810,2610,4724,7528,28956,2408,2168,1120,4114,2186,28313,4680,4693,14086,2249,2470,8010,8847,29148,8447,1352,2260,4324,638,1238,636,7484,8325,52810,8017,7704,16916,7793,4161,2403,1103,1250,16951,2457,609,4106,16475,4461,14636,4308,9214,15449,2373,3962,669,15530,2306,8225,4129,15320,1303,2152
